date,value
2024-03-10,1581.98
2024-03-09,1650.76
2024-03-08,1650.76
2024-03-07,1650.76
2024-03-06,1650.76
2024-03-05,1650.76
2024-03-04,1650.76
2024-03-03,1650.76
2024-03-02,1650.76
2024-03-01,1650.76
2024-02-29,1660.94
2024-02-28,1657.71
2024-02-27,1660.94
2024-02-26,1657.71
2024-02-25,1568.57
2024-02-24,1657.71
2024-02-23,1657.71
2024-02-22,1657.71
2024-02-21,1657.71
2024-02-20,1657.71
2024-02-19,1657.71
2024-02-18,1666.92
2024-02-17,1666.92
2024-02-16,1666.92
2024-02-15,1666.92
2024-02-14,1668.51
2024-02-13,1668.51
2024-02-12,1666.92
2024-02-11,1668.51
2024-02-10,1668.51
2024-02-09,1668.51
2024-02-08,1685.12
2024-02-07,1668.51
2024-02-06,1668.51
2024-02-05,1668.51
2024-02-04,1668.51
2024-02-03,1668.51
2024-02-02,1668.51
2024-02-01,1685.12
2024-01-31,1701.78
2024-01-30,1701.78
2024-01-29,1701.78
2024-01-28,1701.78
2024-01-27,1616.76
2024-01-26,1701.78
2024-01-25,1701.78
2024-01-24,1468.67
2024-01-23,1701.78
2024-01-22,1701.78
2024-01-21,1701.78
2024-01-20,1701.78
2024-01-19,1701.78
2024-01-18,1701.78
2024-01-17,1701.78
2024-01-16,1701.78
2024-01-15,1701.78
2024-01-14,1701.78
2024-01-13,1701.78
2024-01-12,1701.78
2024-01-11,1534.97
2024-01-10,1701.78
2024-01-09,1726.74
2024-01-08,1556.87
2024-01-07,1726.74
2024-01-06,1726.74
2024-01-05,1600.98
2024-01-04,1726.74
2024-01-03,1726.74
2024-01-02,1726.74
2024-01-01,1726.74
2023-12-31,1704.15
2023-12-30,1704.15
2023-12-29,1704.15
2023-12-28,1704.15
2023-12-27,1704.15
2023-12-26,1704.15
2023-12-25,1704.15
2023-12-24,1704.15
2023-12-23,1704.15
2023-12-22,1704.15
2023-12-21,1704.15
2023-12-20,1704.15
2023-12-19,0
2023-12-18,1704.15
2023-12-17,1704.15
2023-12-16,1704.15
2023-12-15,1704.15
2023-12-14,1704.15
2023-12-13,1704.15
2023-12-12,0
